"year","total_auc","nerkids"
"2000",241182,21926
"2001",433154.5,39378
"2002",53943,4904
"2003",195286,17753
"2004",459697.5,41791
"2005",343858,31260
"2006",229005.5,20819
"2007",148395.5,13490
"2008",1396692.5,126972
"2009",704967.5,64088
"2010",2007361.5,182487
"2011",379812.5,34528
"2012",999483.5,90862
"2013",378834.5,34440
"2014",1597267,145206
"2015",112809,10255
"2016",600096,54554
"2017",110361,10033
"2018",338304.5,30755
"2019",143626.5,13057
"2020",513666.5,46697
"2021",117260,10660
"2022",821694.5,74700
