"year","nerkids","Kokanee","propKokanee","Sockeye","propSox","NOsockeye","propNO","HOsockeye","propHO"
"2000",0,0,0.4,0,99.6,0,100,0,0
"2001",0,0,0.9,0,99.1,0,100,0,0
"2002",0,0,27.4,0,72.6,0,100,0,0
"2003",0,0,0,0,100,0,100,0,0
"2004",0,0,0,0,100,0,100,0,0
"2005",0,0,0,0,100,0,100,0,0
"2006",0,0,0,0,100,0,100,0,0
"2007",0,0,0,0,100,0,88,0,1200
"2008",0,0,0,0,100,0,93.7,0,630
"2009",0,0,0.1,0,99.9,0,88.9,0,1110
"2010",0,0,0.2,0,99.8,0,96.9,0,310
"2011",41207,247,0.6,4095976,99.4,39281,95.9,1679,410
"2012",36648,0,0,3664800,100,35915,98,733,200
"2013",29387,529,1.8,2885803,98.2,24702,85.6,4156,1440
"2014",60647,0,0,6064700,100,59070,97.4,1577,260
"2015",59405,0,0,5940500,100,58455,98.4,950,160
"2016",79424,397,0.5,7902688,99.5,78474,99.3,553,70
"2017",46229,647,1.4,4558179,98.6,45582,100,0,0
"2018",60406,0,0,6040600,100,59983,99.3,423,70
"2019",43859,482,1.1,4337655,98.9,0,0,0,10000
"2020",61140,245,0.4,6089544,99.6,59312,97.4,1583,260
"2021",58299,1108,1.9,5719132,98.1,53416,93.4,3775,660
