"year","nerkids","Kokanee","propKokanee","Sockeye","propSox","NOsockeye","propNO","HOsockeye","propHO"
"2000",21926,88,0.4,2183830,99.6,21838,100,0,0
"2001",39378,354,0.9,3902360,99.1,39024,100,0,0
"2002",4904,1344,27.4,356030,72.6,3560,100,0,0
"2003",17753,0,0,1775300,100,17753,100,0,0
"2004",41791,0,0,4179100,100,41791,100,0,0
"2005",31260,0,0,3126000,100,31260,100,0,0
"2006",20819,0,0,2081900,100,20819,100,0,0
"2007",13490,0,0,1349000,100,11871,88,1619,1200
"2008",126972,0,0,12697200,100,118973,93.7,7999,630
"2009",64088,64,0.1,6402391,99.9,56917,88.9,7107,1110
"2010",182487,365,0.2,18212203,99.8,176476,96.9,5646,310
"2011",41207,247,0.6,4095976,99.4,39281,95.9,1679,410
"2012",90862,0,0,9086200,100,89045,98,1817,200
"2013",34440,620,1.8,3382008,98.2,28950,85.6,4870,1440
"2014",145206,0,0,14520600,100,141431,97.4,3775,260
"2015",10255,0,0,1025500,100,10091,98.4,164,160
"2016",54554,273,0.5,5428123,99.5,53901,99.3,380,70
"2017",10033,140,1.4,989254,98.6,9893,100,0,0
"2018",30755,0,0,3075500,100,30540,99.3,215,70
"2019",13057,144,1.1,1291337,98.9,0,0,0,10000
"2020",46697,187,0.4,4651021,99.6,45301,97.4,1209,260
"2021",10660,203,1.9,1045746,98.1,9767,93.4,690,660
